MTS793|BTW|ENG|1|0|.|/|:|44|1|1|A

Data Header:                                                Time:     132.84082 Sec       28/01/2022 11:19:03
Data Acquisition: Timed
Station Name: FORTH-1.cfg
Test File Name: Pappas.tst
Ch 1 Displacement Ch 1 Force Time
mm        kN        Sec
-0.00039935112 -5.3818803e-05 0.028320313
-0.00041425228 0.0001566601 0.047851563
5.9604645e-05 0.00015619444 0.067382813
-0.00047385693 1.5064143e-05 0.086914063
-0.00048875809 0.00022797612 0.10644531
-0.0018000603 0.00019993167 0.12597656
-0.0013411045 0.00041053863 0.14550781
-0.0021219254 0.00036770944 0.16503906
-0.0025391579 0.00022788299 0.18457031
-0.0038653612 1.9383151e-05 0.20410156
-0.0047683716 -0.000116101 0.22363281
-0.0056445599 -0.00029692892 0.24316406
-0.0060230494 -1.4249235e-05 0.26269531
-0.0066399574 4.9965456e-05 0.28222656
-0.0070542097 0.00020995503 0.30175781
-0.0076472759 0.00012546079 0.32128906
-0.0088572502 0.00037692953 0.34082031
-0.0092893839 0.00014709076 0.36035156
-0.010353327 0.00027121278 0.37988281
-0.010675192 0.00014719553 0.39941406
-0.011366606 0.00030046795 0.41894531
-0.012207031 -0.00038230792 0.43847656
-0.011974573 0.00018089777 0.45800781
-0.012621284 0.00042608008 0.47753906
-0.013050437 0.00012619421 0.49707031
-0.013723969 0.00045226188 0.51660156
-0.014957786 0.00033213291 0.53613281
-0.015258789 0.00035857083 0.55566406
-0.015625358 0.00035574194 0.57519531
-0.016349554 0.00017541461 0.59472656
-0.017026067 0.00069009839 0.61425781
-0.018534064 0.00037524151 0.63378906
-0.018262863 0.00046358909 0.65332031
-0.019797683 6.8638474e-05 0.67285156
-0.020354986 0.00033519464 0.69238281
-0.021225214 0.00029880321 0.71191406
-0.022566319 -3.5169069e-05 0.73144531
-0.02271831 -1.8626451e-05 0.75097656
-0.022557378 0.00043532345 0.77050781
-0.023898482 -5.1723327e-05 0.79003906
-0.024163723 0.00044154003 0.80957031
-0.024577975 0.00056666322 0.82910156
-0.025579333 2.7939677e-05 0.84863281
-0.026261806 0.00019435538 0.86816406
-0.026783347 8.684583e-06 0.88769531
-0.027555227 0.00025379704 0.90722656
-0.027668476 0.0001284061 0.92675781
-0.028583407 0.00022853492 0.94628906
-0.029811263 -1.3888348e-05 0.96582031
-0.029677153 4.763715e-05 0.98535156
-0.031298399 0.00017939601 1.0048828
-0.031611323 0.00029876828 1.0244141
-0.032308698 -2.1385495e-05 1.0439453
-0.033193827 9.3132257e-08 1.0634766
-0.032734871 0.00027960632 1.0830078
-0.034075975 0.00015606638 1.1025391
-0.034806132 -0.00030793017 1.1220703
-0.03503263 -0.00043257605 1.1416016
-0.035959482 -0.00013535609 1.1611328
-0.036364794 -0.00030542724 1.1806641
-0.037273765 0.00039220322 1.2001953
-0.037869811 0.00058691949 1.2197266
-0.038075447 0.00039897859 1.2392578
-0.039204955 0.00020740554 1.2587891
-0.039896369 0.0003110501 1.2783203
-0.040078163 0.00024852343 1.2978516
-0.041672587 -0.00027039787 1.3173828
-0.041615963 -0.00045514898 1.3369141
-0.042185187 -0.00068222871 1.3564453
-0.043493509 -0.00033815159 1.3759766
-0.043162704 8.8044908e-05 1.3955078
-0.044387579 -8.8755041e-05 1.4150391
-0.044554472 1.1513475e-05 1.4345703
-0.045260787 -6.4517371e-05 1.4541016
-0.0461936 0.00031320378 1.4736328
-0.046110153 -4.0943269e-05 1.4931641
-0.047552586 -0.00025621848 1.5126953
-0.047972798 -0.00025362242 1.5322266
-0.048881769 -0.00061418395 1.5517578
-0.049111247 -0.00028060749 1.5712891
-0.050151348 -0.00035177218 1.5908203
-0.050705671 -0.00011465745 1.6103516
-0.051921606 -0.00020570587 1.6298828
-0.052401423 -0.0002506189 1.6494141
-0.052934885 -0.00061809551 1.6689453
-0.054061413 0.00011587981 1.6884766
-0.053992867 -0.0002834131 1.7080078
-0.054436922 -0.0003964291 1.7275391
-0.053906441 -0.00020667212 1.7470703
-0.05633235 -5.6263525e-05 1.7666016
-0.057068467 -0.00019583385 1.7861328
-0.056970119 -0.00056024874 1.8056641
-0.058090687 -0.00017517013 1.8251953
-0.058794022 -0.00027287751 1.8447266
-0.059738755 0.00012562377 1.8642578
-0.05992949 -0.0002685003 1.8837891
-0.060412288 -0.00030183 1.9033203
-0.061795115 -0.00058937585 1.9228516
-0.062203407 -0.00036995625 1.9423828
-0.063309073 6.3120387e-05 1.9619141
-0.063866377 -0.00064207707 1.9814453
-0.064453483 -0.00053248368 2.0009766
-0.064823031 -0.0011574361 2.0205078
-0.065985322 -0.00098879682 2.0400391
-0.066167116 -0.00040414743 2.0595703
-0.067046285 -0.00035434496 2.0791016
-0.067639351 -0.00031406526 2.0986328
-0.067344308 -0.0003052759 2.1181641
-0.068771839 -0.00027305214 2.1376953
-0.069266558 -0.00011048978 2.1572266
-0.069847703 -0.00013969839 2.1767578
-0.070297718 -0.00056704739 2.1962891
-0.071233511 -0.00062595354 2.2158203
-0.071743131 -0.0005985843 2.2353516
-0.07250309 -0.0007287832 2.2548828
-0.072863698 -0.00064111082 2.2744141
-0.07353127 -0.00048435759 2.2939453
-0.074759126 -0.00063221669 2.3134766
-0.074926019 -0.00046504429 2.3330078
-0.075650215 -0.00034420518 2.3525391
-0.075978041 -0.00064598862 2.3720703
-0.076779723 -0.0006532413 2.3916016
-0.077682734 -0.0003125635 2.4111328
-0.078317523 -0.00076686265 2.4306641
-0.079655647 -0.00067680376 2.4501953
-0.0787884 -0.00088465167 2.4697266
-0.080776215 -0.0010734657 2.4892578
-0.080966949 -0.00056038843 2.5087891
-0.081691146 -0.0011587283 2.5283203
