MTS793|BTW|ENG|1|0|.|/|:|44|1|1|A

Data Header:                                                Time:     123.18652 Sec       28/01/2022 11:15:59
Data Acquisition: Timed
Station Name: FORTH-1.cfg
Test File Name: Pappas.tst
Ch 1 Displacement Ch 1 Force Time
mm        kN        Sec
0.00015497208 -1.6205013e-05 0.034179688
2.0861626e-05 -2.0954758e-06 0.053710938
0.00016093254 0.00012145611 0.073242188
0.00026226044 -0.00028780196 0.092773438
0.00069141388 0.00059809536 0.11230469
-0.00017285347 0.00022503082 0.13183594
-0.00021457672 0.00023875618 0.15136719
-0.00068843365 0.00041318126 0.17089844
-0.0017732382 0.00017592683 0.19042969
-0.0022798777 8.4924977e-05 0.20996094
-0.0027954578 0.00030319206 0.22949219
-0.0037252903 0.00011171214 0.24902344
-0.0041931868 -5.0861854e-05 0.26855469
-0.0044047832 -0.00029724324 0.28808594
-0.0057160854 -0.00012157252 0.30761719
-0.0062376261 -5.5553392e-05 0.32714844
-0.007006526 -0.00025611371 0.34667969
-0.0070661306 -9.7160228e-05 0.36621094
-0.0081628561 0.00027725473 0.38574219
-0.0087618828 0.00025088666 0.40527344
-0.0089108944 0.00036066631 0.42480469
-0.0099211931 6.7229848e-05 0.44433594
-0.010618567 0.0001656008 0.46386719
-0.01192987 -0.0002357061 0.48339844
-0.012397766 -0.00037811697 0.50292969
-0.012207031 -3.5855919e-05 0.52246094
-0.013273954 -0.00036705751 0.54199219
-0.013363361 -0.00024603214 0.56152344
-0.01462996 7.6601282e-05 0.58105469
-0.015035272 3.2188836e-05 0.60058594
-0.015431643 0.00040337909 0.62011719
-0.016826391 1.7636921e-05 0.63964844
-0.017207861 0.00015241094 0.65917969
-0.018113852 7.4319541e-05 0.67871094
-0.018039346 3.5588164e-05 0.69824219
-0.018826127 0.00011941884 0.71777344
-0.019451976 -0.00021135202 0.73730469
-0.01989007 -9.5844734e-05 0.75683594
-0.021734834 9.778887e-06 0.77636719
-0.021725893 9.1083348e-05 0.79589844
-0.023236871 -0.00028697541 0.81542969
-0.023034215 0.00024123583 0.83496094
-0.023812056 7.878989e-05 0.85449219
-0.024229288 2.0489097e-06 0.87402344
-0.024518371 0.00013422687 0.89355469
-0.02553463 -0.00019427389 0.91308594
-0.026035309 -5.8673322e-06 0.93261719
-0.026395917 -5.8312435e-05 0.95214844
-0.02771616 -0.00022100285 0.97167969
-0.027886033 -0.00031170202 0.99121094
-0.028723478 -0.00049049268 1.0107422
-0.029456615 -4.315516e-05 1.0302734
-0.029411912 -0.00010767253 1.0498047
-0.030624866 -6.9208909e-05 1.0693359
-0.030973554 0.00016117701 1.0888672
-0.031772256 0.00013018725 1.1083984
-0.0323385 -0.0001800363 1.1279297
-0.033769011 -0.00042560278 1.1474609
-0.03426671 -0.00050703529 1.1669922
-0.034639239 0.00023604371 1.1865234
-0.035464764 -0.00022454187 1.2060547
-0.035536289 -0.00014504185 1.2255859
-0.037318468 -0.0001345179 1.2451172
-0.037479401 -0.00019297004 1.2646484
-0.037616491 -5.7753641e-05 1.2841797
-0.039061904 -0.00047137728 1.3037109
-0.039428473 -0.00033265678 1.3232422
-0.040662289 1.5506521e-05 1.3427734
-0.041550398 0.00013362151 1.3623047
-0.041982532 -6.7159999e-05 1.3818359
-0.042390823 -0.00011456432 1.4013672
-0.043147802 -0.00023803441 1.4208984
-0.043949485 -0.00022384338 1.4404297
-0.043937564 -0.00065020286 1.4599609
-0.044512749 -0.0001533539 1.4794922
-0.045526028 0.00011480879 1.4990234
-0.046473742 -0.00062410254 1.5185547
-0.047081709 0.00010312069 1.5380859
-0.047963858 4.353933e-06 1.5576172
-0.048184395 -0.00036068959 1.5771484
-0.049170852 -0.00013906974 1.5966797
-0.04927218 -0.00090842368 1.6162109
-0.050094724 -0.00084256753 1.6357422
-0.050780177 -0.00061081955 1.6552734
-0.051257014 -0.00038766302 1.6748047
-0.052168965 -0.00056083081 1.6943359
-0.052046776 -0.00054078409 1.7138672
-0.053063035 -0.00039183069 1.7333984
-0.053209066 -0.00036708079 1.7529297
-0.055220723 -0.00052391551 1.7724609
-0.054848194 -0.00050170347 1.7919922
-0.055736303 -0.00045486959 1.8115234
-0.056666136 -0.00025320332 1.8310547
-0.056958199 -0.00052269315 1.8505859
-0.05748868 -0.00071903924 1.8701172
-0.058218837 -0.00089193927 1.8896484
-0.059437752 -0.00062810723 1.9091797
-0.059819221 -0.00073842239 1.9287109
-0.060373545 -0.00084372004 1.9482422
-0.061130524 -0.000136788 1.9677734
-0.061786175 -0.0006578397 1.9873047
-0.062155724 -0.00052669784 2.0068359
-0.062862039 -0.0005371985 2.0263672
-0.063771009 -0.00083359191 2.0458984
-0.064089894 -0.00099387253 2.0654297
-0.065562129 -0.00078029698 2.0849609
-0.06608963 -0.00088384841 2.1044922
-0.067090988 -0.00069156522 2.1240234
-0.067612529 -0.0010198681 2.1435547
-0.06801784 -0.00044759363 2.1630859
-0.068542361 -0.0009186333 2.1826172
-0.068920851 -0.0010137213 2.2021484
-0.069195032 -0.0005189213 2.2216797
-0.070300698 -0.00093906419 2.2412109
-0.071278214 -0.00086900545 2.2607422
-0.071388483 -0.00067347428 2.2802734
-0.072428584 -0.00077002915 2.2998047
-0.072860718 -0.00085437205 2.3193359
-0.073182583 -0.0010548392 2.3388672
-0.074148178 -0.0012503355 2.3583984
-0.074404478 -0.0010155723 2.3779297
-0.075212121 -0.0011257012 2.3974609
-0.076141953 -0.0011419994 2.4169922
-0.077089667 -0.001064071 2.4365234
-0.077614188 -0.00086366199 2.4560547
-0.078257918 -0.0014450983 2.4755859
-0.078430772 -0.00099310419 2.4951172
-0.079283118 -0.0012543402 2.5146484
