MTS793|BTW|ENG|1|0|.|/|:|44|1|1|A

Data Header:                                                Time:     177.06738 Sec       28/01/2022 11:53:47
Data Acquisition: Timed
Station Name: FORTH-1.cfg
Test File Name: Pappas.tst
Ch 1 Displacement Ch 1 Force Time
mm        kN        Sec
0.0001013279 -1.2584496e-05 0.028320313
0.0005543232 -0.00022631139 0.047851563
4.4703484e-05 -0.00018060673 0.067382813
-0.00064373016 -0.00042278552 0.086914063
-0.0010967255 -0.00016873237 0.10644531
-0.0011116266 -0.00015631085 0.12597656
-0.0026673079 -0.00053400872 0.14550781
-0.0032126904 -0.00044339104 0.16503906
-0.0029951334 -0.00061115716 0.18457031
-0.0040650368 -0.00031003729 0.20410156
-0.0052779913 -0.00058378791 0.22363281
-0.0050514936 -0.00044988701 0.24316406
-0.0058948994 -0.00030359952 0.26269531
-0.0059366226 -0.00041066669 0.28222656
-0.0073820353 -0.0001685461 0.30175781
-0.0082015991 -0.0003819121 0.32128906
-0.0086933374 -0.0002674642 0.34082031
-0.0095278025 -0.00051811803 0.36035156
-0.010207295 -4.3655746e-06 0.37988281
-0.0107795 -0.00047199428 0.39941406
-0.011429191 -0.00031768577 0.41894531
-0.0118047 5.3807162e-05 0.43847656
-0.012084842 1.671724e-05 0.45800781
-0.012263656 -5.4645352e-05 0.47753906
-0.013646483 -0.00027812785 0.49707031
-0.014588237 -0.00027855858 0.51660156
-0.01476109 -0.00056509161 0.53613281
-0.015625358 -0.00023582252 0.55566406
-0.016593933 -0.00062123872 0.57519531
-0.016945601 -0.00077473233 0.59472656
-0.01745224 -0.00035489211 0.61425781
-0.01835227 -0.00067827059 0.63378906
-0.018885732 -0.00031959498 0.65332031
-0.020051003 -0.00050092349 0.67285156
-0.020468235 2.0710286e-05 0.69238281
-0.020968914 7.6100696e-05 0.71191406
-0.02156496 -0.00043591717 0.73144531
-0.021749735 -0.00075746793 0.75097656
-0.022828579 -0.00049835071 0.77050781
-0.023677945 -0.00045362394 0.79003906
-0.024631619 -0.00071895774 0.80957031
-0.025042892 -0.00042485772 0.82910156
-0.025510788 -0.00064969063 0.84863281
-0.02566576 -0.00067384681 0.86816406
-0.026670098 -0.00091401162 0.88769531
-0.027191639 -0.00052449759 0.90722656
-0.02810061 -0.00023081666 0.92675781
-0.029349327 -0.00036635902 0.94628906
-0.0292629 -0.00036628917 0.96582031
-0.03028214 -0.00039703446 0.98535156
-0.030720234 -0.00052071409 1.0048828
-0.031870604 -0.00069582602 1.0244141
-0.032326579 -0.00047143549 1.0439453
-0.033792853 -0.00068009831 1.0634766
-0.033923984 -0.0010781339 1.0830078
-0.034508109 -0.00087304506 1.1025391
-0.034746528 -0.00084538478 1.1220703
-0.035789609 -0.00063609332 1.1416016
-0.036150217 -0.0006462913 1.1611328
-0.037300587 -0.0010137912 1.1806641
-0.037318468 -0.00070163514 1.2001953
-0.03837049 -0.00052790856 1.2197266
-0.038957596 -0.00022831373 1.2392578
-0.038897991 -0.00047968933 1.2587891
-0.03991127 -0.00060393941 1.2783203
-0.039917231 -0.00083451159 1.2978516
-0.041413307 -0.00073134433 1.3173828
-0.041633844 -0.00045921188 1.3369141
-0.042703748 -0.0007382594 1.3564453
-0.043582916 -0.0010258635 1.3759766
-0.043952465 -0.00099148601 1.3955078
-0.044000149 -0.00073602423 1.4150391
-0.044620037 -0.00065290369 1.4345703
-0.046110153 -0.00055226265 1.4541016
-0.046724081 -0.00080200844 1.4736328
-0.046819448 -0.00026992057 1.4931641
-0.047430396 -0.00018394785 1.5126953
-0.048440695 -0.00052612741 1.5322266
-0.049352646 -0.00040595187 1.5517578
-0.05055666 -0.00072261319 1.5712891
-0.051000714 -0.0010004384 1.5908203
-0.051832199 -0.00067190267 1.6103516
-0.051856041 -0.00059908489 1.6298828
-0.05299747 -0.0010101823 1.6494141
-0.053727627 -0.00088562956 1.6689453
-0.054806471 -0.00073651318 1.6884766
-0.054478645 -0.00061490573 1.7080078
-0.055253506 -0.00098671298 1.7275391
-0.055533648 -0.00062023755 1.7470703
-0.0567168 -0.00054775737 1.7666016
-0.056681037 -0.00077774748 1.7861328
-0.058299303 -0.00087384833 1.8056641
-0.057774782 -0.00079991296 1.8251953
-0.059202313 -0.0014076359 1.8447266
-0.060108304 -0.0011602067 1.8642578
-0.060355663 -0.0011098804 1.8837891
-0.06095469 -0.0011150725 1.9033203
-0.061419606 -0.001079205 1.9228516
-0.062388182 -0.00096826116 1.9423828
-0.063359737 -0.0013839919 1.9619141
-0.064310431 -0.0012306497 1.9814453
-0.064387918 -0.00090113608 2.0009766
-0.065213442 -0.0015368569 2.0205078
-0.065979362 -0.0010007876 2.0400391
-0.066438317 -0.0013542827 2.0595703
-0.067338347 -0.001318031 2.0791016
-0.067287683 -0.0014269492 2.0986328
-0.068196654 -0.0014495105 2.1181641
-0.069415569 -0.0013751443 2.1376953
-0.070208311 -0.0013777986 2.1572266
-0.070732832 -0.0014571822 2.1767578
-0.07109046 -0.0016235746 2.1962891
-0.07160902 -0.0015027006 2.2158203
-0.072041154 -0.0014059595 2.2353516
-0.072363019 -0.0013722107 2.2548828
-0.074028969 -0.0015644007 2.2744141
-0.073820353 -0.0013882993 2.2939453
-0.074523687 -0.0015909667 2.3134766
-0.075384974 -0.0013724435 2.3330078
-0.076651573 -0.0016801059 2.3525391
-0.076544285 -0.0016862992 2.3720703
-0.076636672 -0.0015339581 2.3916016
-0.078439713 -0.0017485931 2.4111328
-0.078901649 -0.0012987643 2.4306641
-0.079476833 -0.0013011275 2.4501953
-0.079840422 -0.0013278099 2.4697266
-0.080657005 -0.0013515237 2.4892578
-0.081774592 -0.0014754012 2.5087891
